CaseID,duration,Children6to17,childage,parental,childgender,sleepneeds,oftbathpar,oftmusicpar,oftalcoholpar,oftreadpar,oftyogapar,oftTVpar,oftonlinepar,oftOTCpar,oftotherpar,bed_school,wake_school,bed_nonschool,wake_nonschool,bedhours_school,bedhours_nonschool,sleephours_school,sleephours_nonschool,wakeupatnight,sleepinschool
619,13,1,8,5,1,11,1,3,2,1,4,3,4,4,2,8,7,9,8,11,11,11,11,1,1
643,16,2,9,1,1,11,4,4,4,4,4,4,4,4,4,8,7,8,7,11,11,11,11,2,1
679,4349,1,6,1,2,11,1,3,4,3,4,2,2,4,4,8,6,8,6,10,10,11,11,1,1
768,14,1,6,1,2,10,4,4,4,1,4,3,3,1,4,8,7,8,7,11,11,11,11,1,1
806,5,1,7,1,1,11,4,3,3,1,4,2,2,3,4,8,7,9,7,11,10,11,11,2,1
857,6,1,7,1,1,11,3,2,2,2,4,4,4,4,2,7,6,8,7,11,11,11,11,1,1
925,7,1,6,1,2,11,4,4,4,4,4,4,4,4,4,7,7,7,7,12,12,11,11,1,1
928,9,2,6,1,1,11,3,3,4,1,4,3,3,4,4,8,7,13,13,11,11,11,11,1,1
1165,7,1,7,1,1,12,3,2,3,2,4,1,1,4,1,8,8,8,7,12,11,11,11,2,1
1200,7,1,6,1,2,11,3,4,3,3,4,3,3,4,4,10,9,10,9,11,11,11,11,1,1
1472,16,2,6,1,2,8,3,4,4,4,4,4,4,4,4,8,7,10,9,11,11,11,11,1,1
1537,9,1,6,1,1,12,4,4,3,1,4,4,3,4,4,8,7,8,7,11,11,11,11,2,1
1133,8,3,14,1,2,9,2,4,4,2,4,4,4,2,2,13,10,13,12,8,10,5,10,1,2
1189,88,4,17,1,1,8,4,4,4,4,2,-1,4,4,4,12,6,12,6,6,6,5,10,1,1
17,10,1,15,1,1,9,2,2,4,3,4,1,3,4,4,12,7,13,11,7,10,6,10,1,1
23,2909,1,17,1,1,8,3,4,1,1,4,4,4,2,4,13,7,13,12,6,10,6,10,1,2
75,4,1,17,1,1,6,1,4,4,3,-1,3,3,3,4,11,6,13,11,7,10,6,10,1,1
150,7,1,17,2,2,6,2,4,4,3,4,4,4,4,2,11,6,11,10,7,11,6,10,1,1
318,5,1,16,1,1,7,3,3,3,3,2,2,3,4,4,13,7,13,11,6,10,6,10,1,2
350,72,2,16,1,2,10,4,4,3,2,4,1,3,4,3,11,6,11,11,7,12,6,10,1,1
500,14,1,7,5,2,7,1,2,4,3,4,1,1,1,1,10,6,-1,-1,8,-1,6,10,1,1
684,11,2,17,1,2,7,2,4,4,3,4,1,1,2,4,13,7,11,11,6,12,6,10,2,1
851,14,2,13,1,2,8,1,1,4,1,4,2,1,2,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,10,1,1
1075,10,1,16,1,1,7,1,3,1,4,4,1,3,4,4,10,5,12,12,7,12,6,10,1,2
1078,17,2,13,1,2,8,2,3,4,2,4,1,4,-1,4,13,6,13,13,5,10,6,10,2,3
1173,13,1,16,1,1,8,4,4,3,2,4,3,1,3,2,10,5,13,11,7,10,6,10,2,2
1397,26,2,17,1,1,7,2,2,4,1,2,2,4,3,4,11,6,12,10,7,10,6,10,1,2
1419,16,2,17,1,2,9,1,1,3,2,4,2,2,1,3,12,8,13,13,8,11,6,10,2,2
1439,25,1,15,1,1,8,4,4,1,4,4,2,4,4,4,11,6,11,9,7,10,6,10,1,1
94,9,1,16,1,2,8,3,2,2,2,4,2,2,4,3,10,6,11,10,8,11,7,10,2,1
123,12,1,15,1,2,8,4,-1,1,2,4,1,2,4,4,11,6,11,10,7,11,7,10,1,1
139,6,1,15,1,1,8,4,4,4,2,4,4,2,4,4,10,6,12,10,8,10,7,10,2,2
179,16,1,17,1,2,7,3,4,2,3,4,1,2,3,1,10,6,12,9,8,9,7,10,2,1
184,14,1,15,1,1,8,3,3,4,3,4,2,2,3,4,10,6,11,10,8,11,7,10,1,1
190,7,1,17,1,2,8,4,4,4,4,4,4,4,4,4,11,7,12,11,8,11,7,10,1,2
259,9,1,17,1,2,10,4,4,4,4,3,1,4,4,4,11,7,12,10,8,10,7,10,1,1
316,31,2,16,1,1,9,4,2,2,1,3,2,4,3,3,11,6,11,10,7,11,7,10,2,2
346,11,2,16,1,1,9,3,4,4,2,4,4,4,4,4,12,7,13,12,7,10,7,10,1,1
348,10,1,16,1,1,9,3,2,4,2,4,1,1,3,4,10,6,11,10,8,11,7,10,2,2
385,16,1,16,1,2,9,2,3,4,2,4,1,3,3,2,10,6,12,10,8,10,7,10,2,1
419,12,1,16,1,2,8,1,4,2,3,4,1,3,4,4,10,5,12,10,7,10,7,10,2,1
433,6,1,14,1,1,8,3,1,3,2,4,3,2,4,4,10,6,11,11,8,12,7,10,2,1
480,9,1,14,1,1,8,1,4,4,4,4,2,4,4,4,12,7,13,11,7,10,7,10,1,2
494,13,2,7,1,1,8,2,2,3,2,4,2,3,3,4,8,7,12,10,11,10,7,10,2,1
541,10,2,16,1,1,8,1,4,4,2,4,1,2,4,4,10,7,12,12,9,12,7,10,2,2
553,13,2,17,1,1,7,3,3,3,3,3,3,3,2,3,11,6,#NULL!,#NULL!,7,#NULL!,7,10,1,1
558,8,2,10,1,2,8,1,3,3,3,2,1,1,4,2,10,6,12,12,8,12,7,10,1,2
600,7,2,15,1,2,8,4,2,2,1,4,2,4,4,4,10,6,13,11,8,10,7,10,1,1
674,9,1,17,1,1,9,4,3,4,1,4,3,3,2,4,11,6,11,9,7,10,7,10,1,1
715,15,3,14,1,1,7,1,4,1,3,4,3,3,4,4,8,6,9,11,10,14,7,10,1,1
716,20,2,15,1,2,8,2,3,3,3,4,2,2,4,3,10,6,11,10,8,11,7,10,1,1
726,7,1,15,1,2,9,2,1,4,2,4,2,2,4,4,10,6,11,12,8,13,7,10,1,1
733,12,3,13,1,1,9,4,4,4,3,4,3,4,4,4,11,7,11,9,8,10,7,10,2,2
753,21,1,16,1,2,9,2,2,4,4,4,2,2,2,4,11,6,13,13,7,12,7,10,1,2
787,7,1,15,2,1,8,3,3,4,4,4,1,2,4,3,11,7,13,12,8,10,7,10,1,1
794,5,3,16,1,1,9,4,4,4,4,4,4,4,4,4,10,6,11,10,8,11,7,10,2,1
846,8,1,17,1,1,8,3,3,4,1,4,4,4,4,1,11,7,12,10,8,10,7,10,1,1
904,11,2,16,1,2,8,1,3,4,1,3,3,3,3,4,10,6,12,11,8,11,7,10,1,1
908,15,1,16,1,2,7,1,2,4,2,4,2,2,4,4,10,5,11,9,7,10,7,10,1,1
