CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
339,1,2,2,2,2,1,10
340,1,1,1,1,1,1,6
344,2,2,1,2,2,2,11
362,2,2,1,2,2,2,11
363,2,2,1,2,2,2,11
389,1,2,2,2,2,2,11
392,1,2,2,2,2,1,10
395,1,1,2,2,1,1,8
435,2,2,1,2,2,2,11
450,2,2,2,2,2,2,12
515,2,2,2,2,2,1,11
520,2,2,2,1,2,2,11
542,1,1,1,1,1,1,6
567,2,1,1,1,2,1,8
577,1,2,2,2,2,2,11
596,2,1,1,1,2,1,8
625,2,2,2,2,2,2,12
641,1,2,1,2,1,2,9
682,2,2,2,2,2,1,11
685,1,1,2,2,2,2,10
691,2,2,2,2,2,2,12
744,1,2,2,2,2,2,11
745,1,2,2,2,2,2,11
748,2,2,2,2,2,2,12
816,2,2,2,2,2,2,12
830,1,2,2,2,2,2,11
847,2,2,2,2,2,2,12
892,2,2,2,2,2,2,12
894,1,2,1,2,2,1,9
898,1,2,1,2,2,2,10
911,2,2,1,1,2,2,10
914,1,2,1,1,2,1,8
980,1,2,1,1,2,1,8
987,1,2,2,2,2,2,11
1001,1,1,1,1,2,1,7
1014,2,1,2,1,2,2,10
1016,2,2,2,2,2,2,12
1055,1,2,2,2,1,1,9
1061,1,2,2,2,2,1,10
1065,2,2,2,2,2,2,12
1123,2,2,2,1,2,1,10
1130,2,2,2,2,2,2,12
1143,2,2,1,2,2,1,10
1154,1,2,2,1,2,2,10
1166,2,2,2,2,2,2,12
1198,1,1,1,1,2,1,7
1201,2,2,1,2,1,1,9
1218,2,2,2,2,2,2,12
1237,1,2,1,2,2,1,9
1258,1,2,2,2,2,2,11
1265,2,2,2,2,2,2,12
1310,1,1,1,2,1,2,8
1313,2,1,1,1,1,1,7
1370,2,1,1,2,1,2,9
1375,1,2,2,2,2,1,10
1386,1,2,2,2,2,1,10
1403,2,2,2,2,2,1,11
1405,1,2,1,2,2,2,10
1427,2,2,2,2,2,2,12
1451,2,2,2,2,2,1,11
1486,1,2,2,2,2,1,10
1543,1,1,1,1,1,1,6
7,2,2,2,2,2,2,12
20,2,2,2,2,2,2,12
33,2,2,2,2,2,1,11
35,1,2,1,1,2,1,8
44,2,2,2,2,2,1,11
46,1,2,2,1,1,1,8
58,2,2,2,2,2,1,11
69,2,2,2,2,2,2,12
80,1,2,2,2,2,2,11
141,2,2,2,2,2,2,12
146,2,2,2,2,2,2,12
147,2,2,2,2,2,2,12
174,2,2,2,2,2,2,12
197,2,2,2,2,2,2,12
213,1,2,1,1,2,2,9
220,2,2,2,2,2,1,11
224,2,2,2,2,2,2,12
252,2,2,2,2,2,1,11
267,2,2,2,2,2,2,12
331,2,2,2,2,2,2,12
396,2,2,2,2,2,2,12
403,2,2,2,2,2,2,12
405,2,2,2,2,2,2,12
413,1,1,1,1,1,1,6
420,2,2,2,2,2,1,11
427,2,2,2,2,2,2,12
454,2,2,2,2,2,2,12
470,2,2,2,2,2,1,11
508,2,2,2,2,2,2,12
513,2,2,1,2,2,1,10
524,2,2,2,2,2,2,12
551,2,2,2,2,2,2,12
575,2,2,2,2,2,2,12
609,2,1,1,2,1,1,8
610,1,1,1,1,1,2,7
617,2,2,2,2,2,2,12
628,2,2,2,2,2,2,12
634,1,2,1,2,2,2,10
694,1,2,2,2,2,2,11
746,2,2,2,2,2,2,12
770,2,2,2,2,2,2,12
779,1,2,2,2,2,2,11
788,2,2,2,2,2,2,12
835,2,2,2,2,1,2,11
836,2,2,2,2,1,2,11
860,2,2,2,2,2,2,12
865,2,2,2,2,2,2,12
873,1,2,2,2,2,2,11
900,2,2,2,2,2,2,12
910,1,2,2,2,2,2,11
915,2,2,2,2,2,2,12
927,2,2,2,2,2,2,12
931,1,2,2,2,1,1,9
1007,2,2,2,2,1,2,11
1009,2,2,2,2,2,2,12
1054,2,2,2,2,2,2,12
1108,2,2,2,2,2,2,12
1115,2,2,2,2,2,2,12
1119,2,2,2,2,2,2,12
1126,2,2,2,2,2,2,12
1134,1,1,2,1,2,2,9
1140,2,2,2,2,2,2,12
1194,2,2,2,2,2,2,12
1202,1,1,2,2,2,2,10
1204,2,2,2,1,2,2,11
1208,2,2,2,2,2,1,11
1234,2,2,2,2,2,1,11
1268,2,2,2,2,2,2,12
1300,2,2,2,1,1,1,9
1334,1,1,1,2,2,2,9
1351,2,2,2,2,2,2,12
1360,1,1,1,2,1,1,7
1380,1,2,2,2,1,2,10
1404,2,2,2,2,2,2,12
1413,1,2,1,2,2,1,9
1432,2,2,2,2,2,2,12
1433,2,2,2,2,1,1,10
1436,1,2,2,2,2,2,11
1438,2,2,2,2,2,2,12
1487,1,2,2,2,2,2,11
1492,1,2,2,2,2,2,11
1502,2,2,2,2,2,2,12
1531,1,2,1,2,2,1,9
1540,2,2,1,2,2,2,11
106,1,2,2,2,1,1,9
370,2,2,2,2,2,1,11
790,2,2,2,2,2,2,12
1167,1,2,1,2,1,2,9
458,2,2,2,2,2,2,12
13,1,1,2,1,1,1,7
10,1,1,1,1,1,1,6
122,2,1,1,2,2,1,9
388,2,1,2,2,2,1,10
534,1,1,1,1,2,1,7
615,2,1,1,1,1,2,8
901,1,1,1,2,2,2,9
978,1,2,2,2,2,1,10
1501,1,1,2,1,2,2,9
55,1,1,2,1,2,1,8
73,2,2,1,2,2,1,10
90,1,1,2,2,2,2,10
120,2,1,1,2,2,2,10
149,1,1,2,1,1,2,8
160,2,2,2,2,2,2,12
168,1,1,2,1,1,1,7
205,2,2,1,2,2,1,10
223,1,2,2,1,2,1,9
251,2,1,2,1,2,2,10
253,1,1,2,1,2,2,9
286,2,1,1,2,1,2,9
295,2,2,2,2,2,2,12
298,2,1,1,1,2,1,8
349,1,1,2,1,2,1,8
366,1,2,1,2,2,1,9
400,2,1,2,1,2,2,10
442,1,2,1,2,1,1,8
466,2,2,2,1,2,1,10
504,2,2,1,2,2,1,10
540,1,2,1,1,1,1,7
554,1,1,1,1,2,1,7
557,2,2,2,1,2,1,10
671,1,1,2,1,2,2,9
714,1,1,1,2,1,2,8
760,1,2,2,2,2,1,10
801,2,2,2,1,2,2,11
861,1,1,2,2,1,1,8
884,2,2,2,1,2,1,10
979,1,2,2,1,1,2,9
985,2,2,1,2,2,1,10
1043,2,1,2,1,1,1,8
1045,2,2,1,1,2,1,9
1060,1,2,2,1,2,2,10
1097,2,1,1,1,2,1,8
1116,1,1,1,1,1,1,6
1229,2,2,2,1,2,1,10
1247,1,2,1,2,1,2,9
1256,1,2,2,2,2,2,11
1298,2,2,1,2,2,2,11
1324,2,2,2,1,2,1,10
1346,1,2,1,2,1,2,9
1381,2,1,2,2,2,1,10
1382,1,2,2,2,1,2,10
1444,1,1,1,1,1,1,6
1505,2,2,2,2,2,1,11
14,1,2,2,2,2,2,11
18,2,1,1,1,2,2,9
39,2,2,2,2,2,1,11
51,2,2,2,2,2,1,11
62,2,1,1,2,2,1,9
79,1,2,2,2,1,1,9
136,2,2,2,2,2,1,11
137,2,2,2,2,1,1,10
152,1,2,1,2,2,1,9
153,2,2,2,2,2,2,12
212,2,2,1,2,2,1,10
262,2,2,2,2,2,2,12
266,1,2,2,2,2,2,11
269,2,1,2,1,2,1,9
273,2,2,2,2,2,2,12
274,2,2,2,2,2,1,11
285,2,2,1,2,2,1,10
291,2,2,2,2,2,2,12
302,1,2,2,2,2,2,11
309,2,2,2,1,2,1,10
321,2,2,2,2,2,1,11
343,2,2,2,2,1,2,11
372,2,1,1,2,1,1,8
375,2,2,2,2,2,1,11
383,2,2,2,2,2,1,11
394,2,2,2,2,2,2,12
448,2,1,1,2,1,1,8
462,2,2,2,1,2,2,11
464,2,2,1,2,1,2,10
474,2,2,1,2,1,1,9
509,2,2,2,2,2,2,12
510,1,1,1,2,1,1,7
517,1,1,2,2,1,1,8
556,2,2,1,1,2,2,10
568,1,1,1,1,2,2,8
571,1,2,2,2,2,2,11
587,1,2,2,2,2,2,11
594,1,2,1,2,2,1,9
606,2,2,1,2,2,1,10
608,1,1,2,1,2,1,8
629,1,2,1,2,2,1,9
632,1,2,1,2,1,1,8
640,1,1,2,1,2,2,9
687,2,2,1,2,2,2,11
701,1,2,2,2,2,2,11
707,1,2,2,2,2,2,11
710,1,2,1,1,2,1,8
